Thana,District,Accident_Severity,Month,Year,Time,Junction_Type,Traffic_Control,Movement,Divider,Weather,Light,Road_Geometry,Surface_Condition,Surface_Type,Surface_Quality,Road_Class,Road_Feature,Location_Type,Vehicle_Type,Vehicle_Movement,Vehicle_Loading,Vehicle_Defect,Vehicle_Driver_Age,Vehicle_Alcohol,Vehicle_Seat_Belt
1,47,4,1,2001,4,2,2,2,2,1,2,1,1,1,1,2,1,2,6,6,1,1,32,2,2
4,47,4,1,2001,2,1,1,2,2,1,1,3,1,1,1,3,1,1,14,6,1,1,42,2,2
12,47,3,1,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,25,2,2
1,39,4,1,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,35,2,2
1,48,4,1,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,,2,2
6,48,4,1,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,,2,2
7,50,3,1,2001,4,1,1,2,2,4,4,1,1,1,1,2,1,2,12,6,1,1,26,2,2
9,50,3,1,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,,2,2
11,50,4,1,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,2,14,6,1,1,,2,2
11,50,3,1,2001,4,1,1,2,2,1,4,1,1,1,1,2,1,2,14,6,1,1,,2,2
13,50,3,1,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,1,9,6,1,1,,2,2
9,52,4,1,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,9,6,1,1,,2,2
2,46,4,1,2001,4,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1,,2,2
5,46,4,1,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1,,2,2
1,35,3,1,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,2,14,6,1,1,,2,2
2,35,4,1,2001,3,1,1,2,2,1,1,1,1,1,1,2,1,2,9,6,1,1,,2,2
5,44,4,1,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,40,2,2
1,45,4,1,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,,2,2
1,48,4,1,2001,1,1,1,2,2,4,2,1,1,1,1,1,1,2,10,6,1,1,25,2,2
