Thana,District,Month,Year,Time,Junction_Type,Traffic_Control,Movement,Divider,Weather,Light,Road_Geometry,Surface_Condition,Surface_Type,Surface_Quality,Road_Class,Road_Feature,Location_Type,Vehicle_Type,Vehicle_Movement,Vehicle_Loading,Vehicle_Defect,Vehicle_Driver_Age,Vehicle_Alcohol,Vehicle_Seat_Belt,Accident_Severity
1,47,1,2001,4,2,2,2,2,1,2,1,1,1,1,2,1,2,6,6,1,1,32,2,2,0
4,47,1,2001,2,1,1,2,2,1,1,3,1,1,1,3,1,1,14,6,1,1,42,2,2,0
12,47,1,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,25,2,2,1
1,39,1,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,35,2,2,0
1,48,1,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,33,2,2,0
6,48,1,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,33,2,2,0
7,50,1,2001,4,1,1,2,2,4,4,1,1,1,1,2,1,2,12,6,1,1,26,2,2,1
9,50,1,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,33,2,2,1
11,50,1,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,2,14,6,1,1,33,2,2,0
11,50,1,2001,4,1,1,2,2,1,4,1,1,1,1,2,1,2,14,6,1,1,33,2,2,1
13,50,1,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,1,9,6,1,1,33,2,2,1
9,52,1,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,9,6,1,1,33,2,2,0
2,46,1,2001,4,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
5,46,1,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1,33,2,2,0
1,35,1,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,2,14,6,1,1,33,2,2,1
2,35,1,2001,3,1,1,2,2,1,1,1,1,1,1,2,1,2,9,6,1,1,33,2,2,0
5,44,1,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,40,2,2,0
1,45,1,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,33,2,2,0
1,48,1,2001,1,1,1,2,2,4,2,1,1,1,1,1,1,2,10,6,1,1,25,2,2,0
1,50,2,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,6,6,1,1,33,2,2,2
